015.4-04.5 |           2.20   84..4108
015.4-04.5 |           2.68   82...363
015.4-04.5 |           3.41   78..1992
015.4-04.5 |           3.6    84..1511
015.4-04.5 |           4.27   CKS91
015.4-04.5 |           4.46   71..9065
015.6-03.0 |           1.7    71..9065
015.6-03.0 |           1.8    84..1511
015.6-03.0 |           2.05   CKS91
015.9+03.3 |           2.69   CKS91
016.0+13.5 |           2.68   71..9065
016.0+13.5 |           5.1    84..1511
016.0-04.3 |           2.00   78..1992
016.0-04.3 |           2.40   84..4108
016.0-04.3 |           2.5    71..9065
016.0-04.3 |           3.2    84..1511
016.0-04.3 |           3.28   82...363
016.1-04.7 |           4.5    84..1511
016.1-04.7 |           5.55   CKS91
016.4-01.9 |           1.60   84..4108
016.4-01.9 |           2.15   82...363
016.4-01.9 |           2.4    84..1511
016.4-01.9 |           2.96   75..9002
016.4-01.9 |           3.55   CKS91
016.4-01.9 |           3.78   CKS91
016.4-01.9 |    1.8  - 2.2    71..9065
017.3-21.9 |           1.21   82...363
017.3-21.9 |           1.5    71..9065
017.3-21.9 |           1.5    84..1511
017.3-21.9 |           1.75   76..9034
017.3-21.9 |           1.80   75..9002
017.3-21.9 |           3.00   84..4108
017.6-10.2 |           1.49   CKS91
017.6-10.2 |           1.77   71..9065
017.6-10.2 |           2.7    84..1511
017.7-02.9 |           2.1    84..1511
017.7-02.9 |           4.33   71..9065
017.7-02.9 |           6.9    CKS91
017.9-04.8 |           2.60   78..1992
017.9-04.8 |           2.88   71..9065
017.9-04.8 |           2.90   84..4108
017.9-04.8 |           3.85   82...363
017.9-04.8 |           4.3    84..1511
017.9-04.8 |           4.44   CKS91
018.0+20.1 |           5.41   CKS91
018.6-02.2 |           8.55   CKS91
018.9+04.1 |           5.2    84..1511
018.9+04.1 |           5.37   71..9065
018.9+04.1 |           6.59   CKS91
019.2-02.2 |           4.11   CKS91
019.4-05.3 |           2.37   CKS91
019.4-19.6 |           1.27   71..9065
019.4-19.6 |           2.6    84..1511
019.7+03.2 |           2.57   CKS91
019.7+03.2 |           3.2    78..1992
019.7-04.5 |           3.66   CKS91
019.8-23.7 |           0.57   CKS91
019.8-23.7 |           0.58   82...363
019.8-23.7 |           0.61   84..4108
019.8-23.7 |           0.66   71..9065
019.8-23.7 |           1.2    84..1511
019.9+00.9 |           0.9    84..1511
