Group,Name,HubCode,HubBar,MB,MWay,V0
33 -4 +4,0729-61,4,--,--,--,2920.0
33 -4,N 2417,4,A,-21.27,--,2891.0
33 +4,0743-58,5,--,--,--,2615.0
33 +5 +5,0621-59,3,--,--,--,1994.0
33 +5,0639-58,3,P,--,--,2325.0
33 -0,0733-46,5,--,--,--,2593.0
33 -0,0737-55,3,--,--,--,2530.0
33 -0,0822-60,5,--,--,--,2291.0
33 -0,0919-68,5,--,--,--,2072.0
33 -0,N 2601,-2,A,--,--,2953.0
34 -1 +1,0613-26,10,--,--,--,1571.0
34 -1,0615-27,3,--,--,--,1465.0
34 -1,N 2217,-2,B,-20.17,--,1382.0
34 +1,0602-26,7,X,--,--,1593.0
34 +1,N 2139,6,X,-19.91,--,1632.0
34 -2 +2,0539-22,10,--,--,--,1532.0
34 -2,N 1964,3,X,-20.44,--,1480.0
34 +2,0516-21,10,--,--,--,1661.0
34 -3 +3,0505-16,9,B,--,--,1889.0
34 -3,0509-14,6,A,-19.91,--,1823.0
34 -3,N 1832,4,B,-20.17,--,1772.0
34 -4 +4,N 1888,5,BP,-20.38,--,2160.0
34 -4,N 1889,-5,--,--,--,2322.0
34 +5 +4,N 1784,5,B,-20.37,--,2182.0
34 +5 +4,N 1843,7,--,--,--,2470.0
34 -6 +6,0618-20,12,P,--,--,1767.0
34 -6,N 2227,6,B,-19.92,--,1999.0
34 +6,0601-20,7,B,--,--,1776.0
34 +7 +7,N 2280,6,A,-21.03,--,1651.0
34 +7,N 2325,-5,--,-20.97,--,1854.0
34 -8 +8,N 2179,0,A,-19.54,--,2549.0
34 -8,N 2207,4,XP,-21.94,--,2465.0
34 -8,N 2223,4,X,-20.85,--,2492.0
34 +8,0618-16,6,A,-20.21,--,2642.0
34 +8,N 2196,2,A,-20.68,--,2119.0
34 -0,0440-08,9,--,--,--,2414.0
