notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,CSO 1177,11,25,40.7,--,41,22,31,O,--,--,--,--,--,0.196,S1,--,17.6,--,--,-22.8,1561,--,1811,11,22,57.8,--,41,39,1
*,SDSS J11258+0055,11,25,49.4,--,0,55,4,O,--,2,--,--,--,0.14,S1,--,20.79,--,--,-18.9,--,--,2,11,23,15.4,--,1,11,34
*,SDSS J11258-0039,11,25,52.1,-,0,39,41,O,--,2,--,--,--,0.019,S1,--,18.64,--,--,-16.7,--,--,2,11,23,18.4,-,0,23,11
*,2QZ J112555-0018,11,25,55.2,-,0,18,1,O,--,--,--,--,--,0.602,S1,*,20.71,--,-0.8,-22.2,--,487,487,11,23,21.5,-,0,1,31
*,2QZ J112602+0001,11,26,2.7,--,0,1,41,O,--,--,--,--,--,0.544,S1,*,20.48,--,-0.76,-22.2,--,489,489,11,23,28.9,--,0,18,11
*,SDSS J11260+0033,11,26,3.7,--,0,33,8,O,--,1,--,--,--,0.32,S1,--,19.24,--,--,-22.3,--,--,1,11,23,29.8,--,0,49,38
*,SDSS J11261+0023,11,26,6.5,--,0,23,50,O,--,1,--,--,--,0.17,S1,--,18.19,--,--,-21.9,--,--,1,11,23,32.6,--,0,40,20
--,FIRST J1126+4252,11,26,11.6,--,42,52,45,R,--,--,--,--,--,0.156,S1,--,17.12,--,--,-22.8,--,--,2228,11,23,28.3,--,43,9,15
*,SDSS J11264+6334,11,26,24.3,--,63,34,40,O,--,1,--,--,--,0.351,S1,--,20.07,--,--,-21.7,--,--,1,11,23,29.9,--,63,51,10
*,SDSS J11264+0058,11,26,29.1,--,0,58,59,O,--,2,--,--,--,0.116,S1,--,19.35,--,--,-19.9,--,--,2,11,23,55.1,--,1,15,29
*,2QZ J112637+0156,11,26,37.7,--,1,56,22,O,--,--,--,--,--,0.662,S1,*,20.58,--,-0.72,-22.5,--,489,489,11,24,3.6,--,2,12,53
*,UM 428,11,26,40.7,-,1,41,38,O,--,--,--,--,--,0.048,S2,--,15.82,0.88,--,-20.6,1230,1699,2015,11,24,7.2,-,1,25,7
*,SDSS J11267+0313,11,26,43.8,--,3,13,55,O,--,1,--,--,--,0.189,S1,--,19.48,--,--,-20.9,--,--,1,11,24,9.4,--,3,30,26
*,2QZ J112646-0134,11,26,46.4,-,1,34,18,O,--,--,--,--,--,0.341,S1,*,18.77,--,-0.77,-22.9,--,489,489,11,24,12.9,-,1,17,47
