                    Wray                        (WRA and CPD-56 8032)                1966, Thesis, Northwestern University, Illinois, U.S.A.
1994A&A...290..639X Xilouris et al.             (G 4.4+6.4)
1988A&A...196L...9Z Zijlstra & Pottasch
1976ApJ...205L..15Z Zuckerman et al.            (IRC +10216, CRL 2688)
1955PASP...67..418D de Vaucouleurs              (NGC)
1988A&A...202L..19T te Lintel Hekkert et al.
1978ApJS...38..119V van den Bergh               (VB)
1979ApJ...227..497V van den Bergh               (VB)
1973ApJ...179..863V van den Bergh et al.        (VBRC)
1981SSRv...28..227V van der Hucht et al.        (V348 Sgr,CPD-56 8032)               Cat. <III/85>
1989A&A...216L...1V van der Veen et al.                                              1989b
1989A&A...226..108V van der Veen et al.         (NGC 6572)                           1989a
