251-01.1  K 1-21         No central star known.
253+00.1 *MmWe 2-1       Coordinates differ too much.
254+05.1  M 3-6          Coordinates 09.133.025 probably not correct.
255+03.1  Sa 2-28        Coordinates Wr (1966) probably not correct.
255-59.1  Lo 1           Suspected central star measured.
257-05.1  KLSS 1-10      Ko,Ku (1999): suspected central star measured.
258-15.1  SKWL 3-2       Coordinates differ too much.
259+00.1  He 2-11        Coordinates differ too much. Ko,Ku (1999): suspected
259+00.1  He 2-11        central star measured.
263-05.1  PB 2           Coordinates 18.133.025 probably not correct.
265-02.1  Ve 26          Coord. CGPN/Koal 65 not correct. Two components. Coord.
265-02.1  Ve 26          Ko,Ku (1999) partly correspond with the old (wrong)
265-02.1  Ve 26          identification.
267-03.1 *Sa 3-7         Ko,Ku (1999): identif. uncertain because made only
267-03.1 *Sa 3-7         according to the coordinates.
272+12.1  NGC 3132       Coordinates 08.114.108 probably not correct.
274+02.2  He 2-35        Coordinates differ too much.
275-01.2  NeVe 3-1       No central star known. Coordinates differ too much.
277+03.1 *MmWe 2-2       Ko,Ku (1999): identification uncertain.
277-03.2 *VBRC 2         Ko,Ku (1999): suspected central star measured.
278-04.1  He 2-32        Coordinates differ too much.
279-03.2  VBRC 3         No central star known.
280+01.1  KLSS 1-12      Ko,Ku (1999): suspected central star measured.
283+25.1  K 1-22         Coordinates 50.134.178 probably not correct.
283+25.1  K 1-22         IRAS 11242-3405 nearby. Coord. 70.002.006 rad: 
283+25.1  K 1-22         deviation in DEC from optical position.
283+03.1  He 2-50        IRAS 10323-5325 nearby.
285+01.1  He 2-52        Coordinates CGPN/Koal 65 not correct.
285-01.1  Pe 2-5         Ko,Ku (1999): identification uncertain, component C1 
285-01.1  Pe 2-5         also possible: RA 10 26 43.8, DEC -58 48 03 (1950).
286+11.1  Lo 5           Coordinates 19.135.001 probably not correct.
286-06.2  WRA 17-40      Coordinates differ too much.
290+07.1  Fg 1           Coordinates 10.113.006 not correct.
292+01.2  He 2-67        IRAS 11265-5950 nearby.
292+01.3  WRA 16-93      Identification not certain.
294+14.1  Lo 6           Ko,Ku (1999): suspected central star measured.
296-03.1  He 2-73        Coordinates Wr (1966) probably not correct.
296-06.1  He 2-71        Coordinates Wr (1966) probably not correct.
299-01.1  He 2-81        IRAS 12202-6344 nearby.
299-04.1 *HtTr 1         No central star known. Coordinates differ too much.
300-02.1  He 2-86        Coordinates 18.133.025 probably not correct.
302-00.2  VBRC 4         No central star known.
303+40.1  A 35           Position for BD-22 3467. Coordinates differ too much.
306-00.1  Th 2-A         Coordinates differ too much.
307-03.1  NGC 5189       Possibly printing error in coordinates 30.002.012.
309+01.1  VBRC 5         Ko,Ku (1999): coord. uncertain because no central star
309+01.1  VBRC 5         visible.
310+01.2  WeKG 3         Disc. coordinates indicate another nebulous object than
310+01.2  WeKG 3         that visible on the disc. FC. Discovery FC is not 
310+01.2  WeKG 3         correct (Kerber, private communication).
310-02.1  He 2-103       IRAS 14019-6426 nearby.
312-00.1 *V417 Cen       Coordinates 61.117.073 probably not correct.
313-12.1  LoTr 11        Coordinates 28.135.026 probably not correct.
315+08.1  MmWe 1-4       Ko,Ku (1999): suspected central star measured.
316-01.1  LoTr 10        No central star visible.
317+03.1  VBRC 6         Ko,Ku (1999): suspected central star measured.
318+41.1  A 36           Coord. differ too much; IRAS 13379-1938 nearby.
318-02.1  He 2-114       IRAS 15000-6041 nearby.
318-03.1  ESO-135-04     No central star visible. IRAS 15047-6133 nearby.
319+15.1  IC 4406        Probably printing error in coordinates 08.114.108.
321+02.3  CoVi 1         Ko,Ku (1999): suspected central star measured.
324+03.1  IRAS15154-52   Ko,Ku (1999): identif. corresponds with that of SECGPN.
324-01.1  He 2-133       Coord. given in 18.133.025 and partly in Ko,Ku (1999)
324-01.1  He 2-133       correspond to the old (wrong) identification.
325+04.2 *He 2-127       Probably printing error in coordinates 18.133.025;
325+04.2 *He 2-127       IRAS 15210-5139 nearby.
325-01.1  VB 2           Ko,Ku (1999): suspected central star measured.
326-10.1 *Cn 1-2         Ko,Ku (1999): coord. corresponding with identif. by 
326-10.1 *Cn 1-2         Allen (1984PASAu...5..369A Allen) also given. 
326-10.1 *Cn 1-2         GSC: coordinates of both identifications given. 
326-10.1 *Cn 1-2         IRAS 16401-6231 nearby.
327-05.1  KsRm 1         Coordinates 50.134.201 probably not correct.
327-07.1  He 2-163       Coordinates differ too much.
328+01.1  Lo 10          Coordinates 19.135.001 probably not correct.
329+01.1  VBRC 7         No central star known.
329-02.3  HeFa 1         IRAS 16086-5415 nearby.
330+05.1  Lo 9           Ko,Ku (1999): suspected central star measured,
330+05.1  Lo 9           candidates C1,C2.
330-02.2 *Sa 1-4         Ko,Ku (1999): identification uncertain.
331-02.2  He 2-161       IRAS 16206-5315 nearby.
332-16.1  HtTr 6         No central star visible.
334-01.1  MmWe 1-6       Coordinates 51.134.007 probably not correct.
335-01.1  He 2-169       IRAS 16304-4914 nearby.
335-03.1  HtTr 4         IRAS 16410-5106 nearby.
335-03.2  MmWe 1-7       Ko,Ku (1999): susp. central star measured.
335-03.2  MmWe 1-7       IRAS 16441-5037 nearby.
335-04.1  MmWe 1-8       Ko,Ku (1999): suspected central star measured.
336-02.1 *VERA 104       Ko,Ku (1999): identif. uncertain because made only
336-02.1 *VERA 104       according to the coordinates. Possible other
336-02.1 *VERA 104       identification (C1): -0.18 sec and -4.0" from VERA 104.
336-07.1 *K 2-17         Ko,Ku (1999): suspected central star measured.
337+01.1  Pe 1-7         Coordinates 28.113.012 probably not correct.
339+29.1 *Y-C 17         Ko,Ku (1999): identif. uncertain because made only
339+29.1 *Y-C 17         according to the coordinates.
339-00.1 *VB 1           Ko,Ku (1999): no central star known.
339-03.1 *MaC 1-3        Ko,Ku (1999): identif. uncertain because made only
339-03.1 *MaC 1-3        according to the coordinates.
