NUM,NGC/Other Cat.,NGC/IC,Con,RA,DEC,VMAG,BMAG,Stars,Size,Class,n
147,Mel.66,,Pup,07h 26m 23.0s,"-47? 40' 00""",,7.8,(200),10,Praes,
148,2396,NGC2396,Pup,07h 28m 02.9s,"-11? 43' 11""",7.4,,40,10,Plei,
149,2401,NGC2401,Pup,07h 29m 24.4s,"-13? 57' 58""",12.6,,(20),2,Praes,
150,2414,NGC2414,Pup,07h 33m 12.8s,"-15? 27' 14""",7.9,,(35),4,Plei,
151,2421,NGC2421,Pup,07h 36m 11.8s,"-20? 36' 44""",8.3,,28,10,Praes,
152,2422 (M47),NGC2422,Pup,07h 36m 35.0s,"-14? 28' 57""",4.4,,50,29,Plei,
153,2423,NGC2423,Pup,07h 37m 06.7s,"-13? 52' 17""",6.7,,40,19,Praes,
154,2420,NGC2420,Gem,07h 38m 23.9s,"+21? 34' 27""",8.3,,(100+),10,Plei,
155,Mel.71,,Pup,07h 37m 30.0s,"-12? 04' 00""",7.1,,60,9,Praes,
156,Mel.72,,Mon,07h 38m 24.0s,"-10? 41' 00""",,10.1,24,9,Praes,15
157,2432,NGC2432,Pup,07h 40m 53.8s,"-19? 05' 09""",10.2,,(50+),7,Praes,
158,2439,NGC2439,Pup,07h 40m 45.4s,"-31? 41' 33""",6.9,,26,10,Plei,
159,2437 (M46),NGC2437,Pup,07h 41m 46.8s,"-14? 48' 36""",6.1,,125,27,Praes,
160,2447 (M93),NGC2447,Pup,07h 44m 29.2s,"-23? 51' 11""",6.2,,80,22,Praes,
161,2451,NGC2451,Pup,07h 45m 15.0s,"-37? 58' 03""",2.8,,35,45,Plei,
162,2453,NGC2453,Pup,07h 47m 34.1s,"-27? 11' 41""",8.3,,10,5,Plei,
163,2455,NGC2455,Pup,07h 48m 58.6s,"-21? 17' 53""",10.2,,20,7,Plei,
164,2467,NGC2467,Pup,07h 52m 29.5s,"-26? 25' 48""",7.1,,20,15,Neb,
165,2477,NGC2477,Pup,07h 52m 09.8s,"-38? 32' 00""",5.8,,300,27,Glob,
166,2482,NGC2482,Pup,07h 55m 10.3s,"-24? 15' 17""",7.3,,28,12,Plei,
167,Tr.8,,Pup,07h 55m 04.0s,"-17? 42' 35""",,9.6,30,7,Praes,
168,Tr.9,,Pup,07h 55m 18.0s,"-25? 56' 00""",8.7,,14,5,Plei,
