HCG,m_HCG,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
58,d,11,39,31.13,+,10,37,41.8,28.4,25.0,E1,0,m,6270,27,0,15.14,3,43.1,13.62,3,48.8,1.48,14.67,14.49,0.2,-19.5,N3819
58,e,11,39,30.06,+,10,39,40.6,23.2,14.1,Sbc,6,m,6052,33,0,15.59,3,32.5,14.33,3,37.4,1.2,15.21,14.86,0.2,-19.1,N3820
59,a,11,45,52.91,+,13,0,19.0,17.7,16.3,Sa,3,m,4109,31,0,14.96,0,38.1,13.48,0,53.4,1.38,14.73,14.52,0.1,-18.6,I736
59,b,11,45,45.55,+,12,59,38.7,15.0,14.4,E0,0,m,3908,58,0,15.92,1,29.1,14.22,1,42.2,1.55,15.38,15.2,0.2,-17.8,--
59,c,11,45,57.88,+,12,58,59.5,24.7,7.0,Sc,7,--,4347,38,0,16.04,1,32.8,15.05,1,32.6,1.03,15.0,14.4,0.5,-18.8,--
59,d,11,45,56.12,+,13,0,27.9,17.7,11.5,Im,12,m,3866,36,0,16.29,1,28.0,15.21,1,38.5,0.77,16.17,15.8,0.2,-17.3,1737
59,e,11,45,44.88,+,13,2,7.1,12.8,6.3,Scd,8,--,23700,240,0,17.76,1,16.8,16.06,0,20.8,1.58,17.0,16.6,0.5,--,--
60,a,12,0,34.23,+,51,57,12.3,17.3,13.4,E2,0,--,19007,46,0,16.08,0,31.6,14.14,1,45.5,1.76,15.27,15.04,0.2,-21.4,--
60,b,12,0,23.76,+,51,58,24.5,11.3,7.0,E4,0,m,18318,90,1,17.24,0,18.9,15.37,0,26.7,1.69,16.2,16.0,0.5,-20.4,--
60,c,12,0,34.0,+,51,57,48.9,11.1,7.8,SBc,7,--,19277,180,0,17.39,1,19.9,15.63,1,27.4,1.6,16.51,16.16,0.2,-20.4,--
60,d,12,0,36.85,+,51,57,22.8,9.4,6.7,S0,1,--,18300,154,1,17.2,1,19.5,15.41,1,26.8,1.61,16.45,16.16,0.2,-20.2,--
61,a,12,9,46.6,+,29,27,28.2,54.3,33.7,S0a,2,m,3784,18,0,13.2,0,89.7,11.67,0,101.1,1.5,13.15,12.82,0.1,--,N4169 U7202
61,b,12,9,48.31,+,29,29,23.4,103.7,27.1,Im,12,--,1127,20,0,13.73,1,91.3,12.81,1,98.8,0.94,13.36,12.59,0.2,--,N4173 U7204
61,c,12,9,59.03,+,29,26,47.6,51.8,15.5,Sbc,6,m,3956,20,0,14.31,0,57.4,12.71,0,68.0,1.56,14.14,13.53,0.1,--,N4175 U7211
61,d,12,9,54.84,+,29,25,37.7,25.6,13.7,S0,1,m,3980,30,0,14.48,0,38.7,13.05,0,45.6,1.4,14.42,14.12,0.1,--,N4174 Mk761 U7206
62,a,12,50,29.7,-,8,55,59.7,52.3,34.3,E3,0,m,4355,38,0,13.79,1,59.9,11.25,1,129.3,2.0,13.58,13.36,0.2,-19.8,--
62,b,12,50,28.32,-,8,55,39.2,44.2,33.3,S0,1,--,3651,41,0,14.21,1,42.9,12.04,1,99.9,1.71,14.03,13.76,0.2,-19.1,--
62,c,12,50,33.8,-,8,55,36.4,24.6,12.3,S0,1,m,4359,37,0,15.0,1,40.2,13.59,1,31.9,1.45,14.91,14.57,0.2,-18.6,--
62,d,12,50,30.62,-,8,59,12.4,19.9,16.8,E2,0,--,4123,76,0,16.3,0,19.7,14.11,0,52.8,1.71,16.03,15.81,0.1,-17.3,--
63,a,12,59,32.64,-,32,29,37.3,33.0,7.9,SBbc,6,--,5228,29,0,15.03,3,44.4,13.49,3,57.8,1.43,14.8,13.97,0.2,--,--
63,b,12,59,22.33,-,32,31,7.6,41.7,22.3,SBc,7,m,9346,29,0,14.47,3,60.4,14.07,3,59.5,0.41,13.82,13.27,0.2,--,--
63,c,12,59,28.14,-,32,29,55.0,16.6,14.9,SBc,7,--,9460,112,0,15.66,3,34.8,14.54,3,36.6,1.1,15.27,14.9,0.2,--,--
63,d,12,59,19.57,-,32,30,23.4,8.9,6.6,Sc,7,m,9141,133,0,17.51,3,15.3,16.44,3,20.7,0.83,17.23,16.79,0.2,--,--
64,a,13,23,9.87,-,3,36,15.2,39.9,13.4,SBc,7,m,10596,46,0,15.58,1,41.2,13.89,1,90.8,1.48,15.3,14.7,0.5,--,--
64,b,13,23,7.61,-,3,35,35.3,26.9,15.3,Scd,8,m,10723,32,0,16.74,1,20.6,15.06,1,71.3,1.42,16.25,15.84,0.2,--,--
64,c,13,23,4.24,-,3,33,17.4,20.7,17.1,Sd,0,--,6147,76,0,15.6,5,16.0,15.1,5,85.0,0.8,14.9,14.7,0.5,--,--
64,d,13,23,6.78,-,3,35,24.6,6.2,4.1,S0,1,--,11100,89,0,17.98,1,11.8,16.36,1,65.1,1.42,17.48,17.19,0.2,--,--
65,a,13,27,2.96,-,29,15,24.4,37.0,26.8,E3,0,m,14105,44,0,14.67,0,57.7,12.88,1,77.2,1.59,14.03,13.71,0.1,-22.1,--
65,b,13,27,6.93,-,29,14,21.9,27.4,11.9,S0,1,--,14700,55,1,15.49,1,42.2,14.16,1,47.8,1.63,15.01,14.54,0.2,-21.3,--
65,c,13,27,5.38,-,29,14,2.5,19.0,14.8,E2,0,m,14243,46,0,15.79,1,34.8,13.7,1,58.0,1.66,15.15,14.83,0.2,-20.9,--
65,d,13,27,4.19,-,29,15,18.7,10.0,7.0,E3,0,m,13733,27,0,15.94,1,34.9,13.93,1,48.4,1.77,15.26,14.94,0.2,-20.8,--
65,e,13,27,7.51,-,29,14,1.1,4.5,4.5,E0,0,m,14405,107,0,17.01,1,23.4,15.66,1,27.2,1.43,15.37,15.05,0.2,-20.8,--
