MCG-06-04-056 *NGC  633  01 34 12 -37 36 12.9  2 254            2  0.8   0.7    4  1  2.0   1.7 1 177 1 F4                                                                  S A:     L   5160 189                                                         1 2 057           1.1
MCG-06-04-057 *          01 34 12 -37 37 14.9  2 254               0.4   0.25   1  2  0.6   0.3   179          F      K                                                     E        L                                                                    1 D 056           1.1
MCG-06-04-058 *          01 34 18 -36 40 15.   3   1               0.4   0.2    1  2  2.0   0.7 1 170          NE3                                                          S C      L
MCG-06-04-059 *IC 1719   01 35 24 -34 12 14.   3   1 0.4   0.3  1                     1.4   1.0 1 174   E4                                                                  SO       L
MCG-06-04-060            01 35 36 -33 12 15.   3   1 0.2   0.15 2  0.5   0.5    4  2                           NE  ;2#FA
MCG-06-04-061 *          01 35 54 -33 09 15.5  2   1 0.15  0.15 1  0.6   0.6    5     1.0   0.7    53          N   ; H                                                      S A      L
MCG-06-04-062 *          01 36 18 -33 52 15.   3   1            2  1.0   0.5    4  2  1.3   0.8    35          L   ;2BA    221A    ,18                                      S C      L
MCG-06-04-063            01 36 30 -33 19 15.5  2   1               0.25  0.25   1  1                           N83
MCG-06-04-064            01 38 06 -36 05 15.5  2   1 0.2   0.15 1               6                              NE  ; H
MCG-06-04-065            01 38 18 -32 58 15.5  2   1               0.4   0.3    1  2                           NE3
MCG-06-04-066 *          01 40 00 -33 32 15.5  2   1               0.4   0.2    2  3  0.8   0.4   153   FC                                                                  S        L   5895 194
MCG-06-04-067 *IC 1722   01 40 48 -34 26 15.   3   1            2  1.3   0.25   4  3  1.7   0.6    50          B   ;2#   1 2 RB                                             I        L   4091 194                                                         1 K 068
MCG-06-04-068 *IC 1724   01 41 00 -34 30 13.5  2   1            1  0.8   0.4    3  3  1.3   0.4   126          FA  ;2#AT                                                    SO       L   3846 194                                                         1 1 069
MCG-06-04-069 *          01 41 06 -34 28 15.   3   1               0.6   0.15   1  3  1.0   0.3    19   F                                                                   S        L   3626 194                                                         1 K 067
MCG-06-04-070 *          01 41 24 -33 58 14.16 1 192               0.4   0.25   1     1.1   0.4 1 113 1        NE                                                                        8785 194
MCG-06-04-071 *          01 41 30 -36 21 12.5  2   1 0.5   0.4  1  1.5   1.5  : 6  1  2.4   1.4 1 162          N8  ; DA                                                     SO 3  A  L
MCG-06-05-001 *          01 44 36 -34 09 14.   3   1 0.3   0.15 1  0.8   0.4    3  1  2.0   1.8 1              B4  ;21WB   2 DB                                             S A:     L
MCG-06-05-002 *IC 1728   01 45 24 -33 50 13.5  2   1 0.4   0.3  1  1.0   0.7    4  2  1.2   0.9     3          L   ;2#A                                                     S B      L   8748 191                              0.73 246
MCG-06-05-003 *IC 1734   01 46 57 -32 58 13.   3   1 0.7   0.3  2  1.4   1.4    5  2  2.0   2.0 1              L   ;2B     22SA                                             S C      L   4986 191                              0.67 246
MCG-06-05-004 *NGC  696  01 47 12 -35 08 13.5  2   1 0.7   0.3  1  1.2   0.5    6  2  2.0   0.8 1  25   F4                                                                  SO 3  A  L   8097 194
MCG-06-05-005 *NGC  698  01 47 24 -35 04 14.5  2   1 0.3   0.3  2  1.0   1.0    56 1  1.0   1.0                N   ; LA                                                     SR       L   8342 186                                                                               3 2 17 1.0
MCG-06-05-006            01 48 00 -35 12 15.   3   1 0.3   0.3  2  0.6   0.5    3  1                           N8  ;12A    , H
MCG-06-05-007 *IC 1739   01 48 12 -34 17 15.   3   1            2  0.8   0.5    3  2  1.0   0.6    96   FC                                                                  S B      L
MCG-06-05-008 *          01 48 18 -34 17 16.   3   1 0.3   0.1  1  0.7   0.15   56 5  1.1   0.2 1 109          L   ;29A                                                     S B:     L
MCG-06-05-009            01 48 30 -34 48 15.   3   1 0.3   0.2  1  0.6   0.4    4                              N8E ; H
MCG-06-05-010 *          01 48 36 -36 15 13.5  2   1 0.4   0.4  1  1.1   1.0          2.0   1.6 1       E                                                                   SO       L
MCG-06-05-011 *          01 49 24 -36 26 14.5  2   1 0.3   0.3  1               5     1.5   1.4 1              N   ; H                                                      S A      L
MCG-06-05-012 *NGC  727  01 51 36 -36 05 14.5  2   1            2  1.0   0.4    3  2  1.6   1.1    76   FA                                                                  S4       L
MCG-06-05-013 *          01 52 06 -38 02 14.5  2   1            2  0.8   0.5    4  2  1.1   1.0                F   ;11C                                                     S A      L
MCG-06-05-014 *          01 52 36 -35 24 15.   3   1            1  0.25  0.15         1.2   0.7   108          N8E                                                          SO :     L
MCG-06-05-015 *IC 1762   01 55 24 -33 29 13.   3   1            2  1.5   0.4    4  3  2.5   0.7    43   FA                                                                  S C      L
MCG-06-05-016 *IC 1759   01 55 36 -33 13 13.   3   1 0.5   0.5  2  1.0   1.0    4  1  2.2   2.2 1              L   ;92FA4                                                   S A      L
