MCG,n_MCG,OtherName,RAh,RAm,DE-,DEd,DEm,Mag,MajAxisIn,MinAxisIn,MajAxis,MinAxis,IntIn,IntOut,Incl
MCG-04-01-016,--,--,0,4.65,-,22,4,15.0,4.0,1.5,14.0,3.0,1,5,3
MCG-04-01-017,--,--,0,5.3,-,20,58,16.0,1.0,1.0,8.0,6.0,1,5,2
MCG-04-01-018,*,NGC   24,0,7.45,-,25,15,12.0,20.0,5.0,65.0,15.0,1,3,3
MCG-04-01-019,--,--,0,8.4,-,21,21,15.0,--,--,6.0,2.0,1,3,3
MCG-04-01-020,*,--,0,10.6,-,24,30,13.0,4.0,3.0,12.0,8.0,3,4,1
MCG-04-01-021,*,NGC   45,0,11.5,-,23,28,11.0,15.0,15.0,80.0,40.0,4,6,2
MCG-04-01-022,*,--,0,12.4,-,24,22,15.0,--,--,6.0,6.0,1,3,1
MCG-04-01-023,*,--,0,12.6,-,24,59,15.0,--,--,7.0,5.0,3,4,1
MCG-04-01-024,*,--,0,12.65,-,24,23,15.0,2.0,1.0,6.0,2.0,1,4,2
MCG-04-01-025,*,--,0,12.65,-,24,20,15.0,4.0,2.0,7.0,3.0,1,3,2
MCG-04-01-026,--,NGC   59,0,12.85,-,21,43,13.0,6.0,4.0,--,--,1,--,--
MCG-04-01-027,--,--,0,12.9,-,24,21,15.0,--,--,4.0,2.0,--,1,2
MCG-04-01-028,--,--,0,14.6,-,24,37,15.0,--,--,7.0,5.0,3,4,1
MCG-04-01-029,*,--,0,15.0,-,24,30,16.0,1.0,1.0,--,--,1,--,--
MCG-04-02-001,--,NGC   65:,0,16.5,-,23,10,15.0,2.5,2.0,4.0,4.0,1,5,1
MCG-04-02-002,*,NGC   66:,0,16.6,-,23,13,14.0,--,--,12.0,5.0,2,3,2
MCG-04-02-003,--,--,0,16.65,-,22,58,15.0,--,--,4.0,4.0,2,3,1
MCG-04-02-004,*,--,0,16.7,-,23,3,15.0,2.0,1.0,6.0,5.0,1,5,--
MCG-04-02-005,--,--,0,16.8,-,24,48,14.0,4.0,3.0,8.0,4.0,3,4,2
MCG-04-02-006,--,--,0,18.25,-,23,33,14.0,8.0,3.0,16.0,10.0,1,6,2
MCG-04-02-007,*,--,0,20.05,-,22,34,15.0,2.0,0.7,6.0,5.0,2,4,--
MCG-04-02-008,*,--,0,20.25,-,24,24,16.0,--,--,2.0,1.5,--,1,1
MCG-04-02-009,*,--,0,20.25,-,24,24,15.0,6.0,2.0,10.0,3.0,2,5,3
MCG-04-02-010,--,--,0,20.55,-,22,23,15.0,3.0,1.5,8.0,4.0,2,4,3
MCG-04-02-011,*,--,0,22.4,-,20,59,16.0,1.0,1.0,--,--,1,6,--
MCG-04-02-012,*,--,0,22.45,-,20,59,16.0,1.0,1.0,--,--,1,6,--
MCG-04-02-013,*,--,0,22.5,-,20,59,16.0,1.0,1.0,--,--,1,6,--
MCG-04-02-014,*,NGC  142,0,28.7,-,22,53,14.0,4.0,3.0,10.0,5.0,1,3,2
MCG-04-02-015,*,NGC  143,0,28.8,-,22,50,15.0,--,--,8.0,2.0,1,2,3
MCG-04-02-016,*,NGC  144,0,28.9,-,22,55,14.0,--,--,6.0,6.0,1,2,1
MCG-04-02-017,*,IC 1553,0,30.2,-,25,51,14.0,--,--,10.0,2.5,--,1,4
MCG-04-02-018,*,--,0,31.75,-,21,41,13.0,6.0,4.0,13.0,9.0,1,3,2
MCG-04-02-019,--,--,0,31.8,-,21,44,15.0,--,--,6.0,2.0,--,2,3
MCG-04-02-020,--,--,0,32.4,-,22,9,16.0,--,--,4.0,4.0,--,4,1
MCG-04-02-021,--,--,0,32.7,-,26,21,15.0,--,--,6.0,4.0,--,4,2
MCG-04-02-022,--,NGC  167,0,32.9,-,23,38,13.0,--,--,8.0,7.0,1,3,1
MCG-04-02-023,*,--,0,33.2,-,24,39,15.0,--,--,10.0,2.0,2,4,4
MCG-04-02-024,*,IC 1558,0,33.4,-,25,38,13.0,10.0,6.0,32.0,20.0,4,6,2
MCG-04-02-025,*,--,0,33.9,-,23,17,15.0,1.0,1.0,10.0,7.0,1,4,1
MCG-04-02-026,*,NGC  168,0,34.25,-,22,52,14.0,--,--,8.0,2.0,1,2,4
MCG-04-02-027,*,NGC  172,0,34.8,-,22,52,14.0,10.0,2.0,20.0,2.0,2,4,5
MCG-04-02-028,*,NGC  177,0,35.1,-,22,50,13.0,4.0,2.5,24.0,4.0,2,3,3
MCG-04-02-029,*,IC 1561,0,36.05,-,24,36,14.0,--,--,13.0,4.0,2,4,3
MCG-04-02-030,*,IC 1562,0,36.1,-,24,32,13.0,5.0,5.0,13.0,12.0,2,4,1
MCG-04-02-031,--,--,0,36.4,-,24,30,15.0,--,--,5.0,4.0,3,4,2
MCG-04-02-032,--,--,0,37.05,-,20,39,15.0,3.0,1.5,11.0,5.0,3,5,2
MCG-04-02-033,--,--,0,37.35,-,22,21,16.0,1.0,1.0,6.0,6.0,3,5,1
MCG-04-02-034,--,--,0,38.55,-,22,21,15.0,--,--,8.0,4.0,2,3,2
MCG-04-02-035,--,NGC  216,0,39.0,-,21,19,13.0,--,--,12.0,4.0,1,4,3
MCG-04-02-036,--,IC 1573,0,39.7,-,23,52,15.0,--,--,10.0,0.8,3,4,5
MCG-04-02-037,--,--,0,40.0,-,23,54,15.0,--,--,9.0,1.0,2,4,5
MCG-04-02-038,--,--,0,40.2,-,22,5,15.0,1.5,1.5,2.0,2.0,1,4,1
MCG-04-02-039,--,--,0,40.3,-,22,2,15.0,2.0,1.5,5.0,2.0,1,5,3
MCG-04-02-040,--,NGC  232,0,40.3,-,23,50,14.0,3.0,2.5,8.0,6.0,1,4,1
MCG-04-02-041,*,NGC  235a,0,40.45,-,23,49,14.0,--,--,3.5,3.5,--,1,1
MCG-04-02-042,*,NGC  235b,0,40.45,-,23,49,14.0,--,--,2.0,2.0,--,1,--
MCG-04-02-043,--,IC 1574,0,40.6,-,22,32,14.0,--,--,16.0,6.0,4,5,2
